"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
0.8,99.2,"<b>Velonetz-Initiative</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
44.9,55.1,"<b>Transparenz-Initiative</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
50.5,49.5,"<b>Gegenvorschlag zur Transparenz-Initiative</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
3.2,96.8,"<b>Stichfrage: Transparenz-Initiative oder Gegenvorschlag?</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
