"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
84.7,15.3,"<b>NA</b><br>Die brieflichen Stimmen sind ausgezählt.","<b>Inscrire dans la Constitution l'interdiction des symboles de haine dans l'espace public</b><br>Les votes par correspondance ont été dépouillés.","<b>NA</b><br>I voti per corrispondenza sono stati scrutinati."
38.8,61.2,"<b>NA</b><br>Die brieflichen Stimmen sind ausgezählt.","<b>Initiative pour étendre le droit de vote et d'éligibilité au niveau cantonal pour les étrangers domiciliés à Genève</b><br>Les votes par correspondance ont été dépouillés.","<b>NA</b><br>I voti per corrispondenza sono stati scrutinati."
43.8,56.2,"<b>NA</b><br>Die brieflichen Stimmen sind ausgezählt.","<b>Assouplissement des conditions de travail dans les crèches privées</b><br>Les votes par correspondance ont été dépouillés.","<b>NA</b><br>I voti per corrispondenza sono stati scrutinati."
23.7,76.3,"<b>NA</b><br>Die brieflichen Stimmen sind ausgezählt.","<b>Suppression de deux dispositions de la loi sur la santé sur le suicide assisté dans les institutions</b><br>Les votes par correspondance ont été dépouillés.","<b>NA</b><br>I voti per corrispondenza sono stati scrutinati."
